"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000227500,SCAMP4,5244.6176,5174.9093,4709.5331,3727.3822,4385.5205,4885.6614,4820.8315,5016.2432,4534.87
ENSG00000227502,LINC01268,2.0682,3.3352,1.0006,4.0929,0,2.0132,5.3216,8.3482,5.7733
ENSG00000227506,MUC21,0.21,0,0.6031,0.525,0.6002,0.4029,0.8408,1.8104,0.809
ENSG00000227507,LTB,5.6922,4.3555,3.8057,6.6466,2.1298,2.8786,2.8507,3.8753,4.3315
ENSG00000227508,LINC01624,0.4965,0,0,0,0,0.5062,0,0,0
ENSG00000227510,LINC01442,0,1.9998,1.0002,0,2.9993,0.9999,2.0024,1.0006,1.0003
ENSG00000227517,LINC01483,15.7984,19.4051,11.2216,7.014,10.7752,2.4094,25.8992,53.0104,27.2123
ENSG00000227518,MIR1302-9,91.7277,90.2947,95.9355,79.721,68.9695,81.2486,151.8704,245.7673,179.6563
ENSG00000227528,DIAPH3-AS1,0,0,0,0,0,1.0108,0,0,0
ENSG00000227533,SLC2A1-AS1,43.6501,54.8808,59.1998,29.5119,38.2173,55.7341,47.8974,81.9748,47.9269
ENSG00000227540,DNAJC9-AS1,11.6,10.0898,9.1431,31.6161,28.3905,29.1234,15.8429,13.944,11.9293
ENSG00000227544,LOC100506725,0,0,0,0,0,0,0,1.0002,0
ENSG00000227551,USP17L12,0.1052,0,0,0,0,0,0,0.0456,0.2354
ENSG00000227555,MIR4290HG,2.4993,0,1.9918,1.0041,0,0.9987,5.0192,0,0
ENSG00000227559,HCG14,0,1e-04,1e-04,1e-04,0,0,0,0,0
ENSG00000227564,LINC00376,0,1.009,1.0165,0.9878,0,0,0,0.9956,0
ENSG00000227565,NFKBIL1,224.3242,213.4979,175.0175,350.9117,244.7815,185.8628,270.8762,259.3987,266.2275
ENSG00000227567,APOM,4.0893,3.7767,0,9.87,5.2207,1.0508,3.2394,4.411,3.6841
ENSG00000227587,ATP6V1G2,1.0108,0.513,1.6699,4.7765,4.8975,0.863,0.3066,0,0.1661
ENSG00000227588,CNTN4-AS2,0,0,0,0,0,0,0,0,0
ENSG00000227591,LOC101930114,7.9439,3.0855,5.1108,0.9723,0,3.0363,22.5353,48.6187,35.7891
