Gene	Group
NEFL	example2
SARS2	example2
TRPV6	example2
NOXA1	example2
THBS3	example2
PRKCD	example2
TEN1-CDK3	example2
SLC25A29	example2
TNS3	example2
SLC27A3	example2
CERCAM	example2
SAMD1	example2
ZSCAN2	example2
STARD4	example2
SSBP3	example2
COL4A6	example2
ADM	example2
LOC100630923	example2
LINC00294	example2
KIAA1841	example2
SCEL	example2
ZBED5-AS1	example2
SHROOM2	example2
RYR1	example2
TRPM4	example2
ARHGAP22	example2
ZBTB3	example2
LACTB2	example2
PXYLP1	example2
SESN1	example2
DENND6B	example2
C1R	example2
MEX3A	example2
TSTD1	example2
KBTBD4	example2
DNAAF3	example2
EMP2	example2
PRDX5	example2
SIPA1	example2
TMEM219	example2
TMEM237	example2
CDK20	example2
FASN	example2
ACOT11	example2
RASA4	example2
TCTN1	example2
CASK	example2
TSNARE1	example2
FAM212B	example2
AHNAK2	example2
TMEM143	example2
CETN2	example2
MRC2	example2
SLC1A3	example2
SNN	example2
PAQR7	example2
TMEM25	example2
C9orf3	example2
ANAPC15	example2
ANKMY1	example2
BSCL2	example2
C22orf29	example2
CTXN1	example2
ARL15	example2
SERTAD3	example2
EDARADD	example2
TMTC2	example2
CTSF	example2
NAV2	example2
WDFY2	example2
ACADS	example2
AP1S3	example2
KANK2	example2
MIR31HG	example2
TNNT1	example2
CDK18	example2
JUN	example2
MIR4697HG	example2
ANK3	example2
DUSP10	example2
FXYD3	example2
PPP1R12B	example2
PLEKHH2	example2
PROM2	example2
IGFBP6	example2
PPP3CB	example2
MT1L	example2
SKIL	example2
PRDM11	example2
UCA1	example2
LRRC56	example2
PTGES	example2
LINC00339	example2
TEAD2	example2
WWOX	example2
MTMR11	example2
PAN2	example2
ST5	example2
DEPDC7	example2
NUDT8	example2
ARMC9	example2
HOTAIR	example2
LMNTD2	example2
WBP5	example2
MYCL	example2
MYL6B	example2
CTDSP1	example2
C5orf45	example2
EXOC6B	example2
TXNDC17	example2
HDAC11	example2
SRRM3	example2
PGAP3	example2
ISYNA1	example2
DTX4	example2
FOXO4	example2
MAGEE1	example2
PFKFB3	example2
LOC90246	example2
TBC1D8B	example2
DNMT3B	example2
LOC284023	example2
SYDE2	example2
AKR7A2	example2
NIPSNAP3A	example2
BCL11A	example2
RALGDS	example2
PAX9	example2
FAM210B	example2
TCAF1	example2
CROT	example2
NPNT	example2
FBLN1	example2
CAPG	example2
LINC00842	example2
GALNT11	example2
TBC1D9	example2
RARG	example2
CDKN2C	example2
